endpoint,test,chi2,p_value,p_perm,cramer_v,effect_size
doku_anomalisi_any,Chi2_Perm,7.881051587301588,0.09603389929848109,0.09,0.48145159146131705,
gingivitis,Chi2_Perm,2.18987389422172,0.7008835742096773,0.767,0.25378742228960743,
caries_any,Chi2_Perm,8.242301587301588,0.08309492786795936,0.074,0.49236230046647045,
caries_count_total,Kruskal-Wallis,,0.25680838659371413,,,0.04522188990538825
