Variable,Value,95% CI (Wilson)
N,34,-
"Age (median, IQR)",11.0 (6.0-14.75),-
doku_anomalisi_var_rt,10 (29.4%),"16.8%, 46.2%"
gingivitis,11 (32.4%),"19.1%, 49.2%"
caries_any_rt,24 (70.6%),"53.8%, 83.2%"
"caries_count (median, IQR)",1.5 (0.0-3.75),-
