scenario,metric,A,B,diff
Primary,chi2_doku_anomalisi_var_rt,7.881051587301588,7.881051587301588,0.0
Primary,chi2_gingivitis,2.1898738942217206,2.1898738942217206,0.0
Primary,chi2_caries_any_rt,8.242301587301586,8.242301587301586,0.0
Primary,eps2_kw_caries_count,0.16095256991685636,0.04522188990538825,0.1157306800114681
