scenario_k,endpoint,model_name,cv_method,auc_age,auc_age_gene,delta_auc,delta_auc_ci_low,delta_auc_ci_high,warnings
k=3,doku_anomalisi_var,age_vs_age+gene,LOO,0.0,0.5958333333333333,0.5958333333333333,0.3529129611330698,0.7945977633477632,AUC < 0.5 detected.
k=3,gingivitis,age_vs_age+gene,LOO,0.8181818181818181,0.8023715415019763,-0.015810276679841806,-0.14342532467532468,0.09029914529914519,
k=3,caries_any_rt,age_vs_age+gene,LOO,0.8083333333333332,0.9083333333333333,0.10000000000000009,-0.04098557692307694,0.23387419926400438,
k=4,doku_anomalisi_var,age_vs_age+gene,LOO,0.0,0.5958333333333333,0.5958333333333333,0.3927462121212121,0.7993040293040293,AUC < 0.5 detected.
k=4,gingivitis,age_vs_age+gene,LOO,0.8181818181818181,0.8023715415019763,-0.015810276679841806,-0.13545914632871156,0.10212626262626254,
k=4,caries_any_rt,age_vs_age+gene,LOO,0.8083333333333332,0.9083333333333333,0.10000000000000009,-0.036123486159169584,0.26376010101010094,
