scenario_k,endpoint,test,statistic,p_classic,p_permutation,expected_min,effect_size_name,effect_size_value,p_holm_classic_set,p_holm_perm_set
k=3,doku_anomalisi_var,Chi2_Perm,7.881051587301588,0.09603389929848109,0.0924,1.4705882352941178,CramerV,0.48145159146131705,0.6647594229436753,0.46920000000000006
k=3,gingivitis,Chi2_Perm,2.1898738942217206,0.7008835742096772,0.747,1.6176470588235294,CramerV,0.25378742228960743,1.0,1.0
k=3,caries_any_rt,Chi2_Perm,8.242301587301586,0.08309492786795941,0.0782,1.4705882352941178,CramerV,0.4923623004664704,0.6647594229436753,0.46920000000000006
k=3,caries_count,Kruskal,5.311434807256259,0.25680838659371413,,,Epsilon2,0.04522188990538825,1.0,
k=4,doku_anomalisi_var,Chi2_Perm,7.881051587301588,0.09603389929848109,0.0894,1.4705882352941178,CramerV,0.48145159146131705,0.6647594229436753,0.46920000000000006
k=4,gingivitis,Chi2_Perm,2.1898738942217206,0.7008835742096772,0.7602,1.6176470588235294,CramerV,0.25378742228960743,1.0,1.0
k=4,caries_any_rt,Chi2_Perm,8.242301587301586,0.08309492786795941,0.0828,1.4705882352941178,CramerV,0.4923623004664704,0.6647594229436753,0.46920000000000006
k=4,caries_count,Kruskal,5.311434807256259,0.25680838659371413,,,Epsilon2,0.04522188990538825,1.0,
