endpoint,test,statistic,expected_min,p_classic,p_permutation,effect_size_name,effect_size_value,p_holm
doku_anomalisi_var,Chi2/Permut,7.881051587301588,1.4705882352941178,0.09603389929848109,0.0924,CramerV,0.48145159146131705,0.3128
gingivitis,Chi2/Permut,2.1898738942217206,1.6176470588235294,0.7008835742096772,0.747,CramerV,0.25378742228960743,0.747
caries_any,Chi2/Permut,8.242301587301586,1.4705882352941178,0.08309492786795941,0.0782,CramerV,0.4923623004664704,0.3128
caries_count,Kruskal-Wallis,5.311434807256259,,0.25680838659371413,,Epsilon2,0.04522188990538825,0.5136167731874283
