severity,category,description,affected_rows,action_taken,timestamp,affected_ids
INFO,,No issues detected,,,,
INFO,ANALYTIC_EXCLUSION,Angle analysis excluded occl_tip==4 as infraocclusion,,Set angle_sinifi_rt=NaN and infraokluzyon_var_rt=1,2026-03-14T12:21:41,5
