timestamp,from,to,reason
2026-04-17T21:08:47,"Users/centaurioun/Repos/osteogenesis_imperfecta\osteogenesis_imperfecta_camber_input_minimal_v1.csv","Users/centaurioun/Repos/osteogenesis_imperfecta\01_data\raw\osteogenesis_imperfecta_camber_input_minimal_v1.csv","data_raw"
2026-04-17T21:08:47,"Users/centaurioun/Repos/osteogenesis_imperfecta\codebook_v3_fixed.md","Users/centaurioun/Repos/osteogenesis_imperfecta\01_data\reference\codebook_v3_fixed.md","data_reference"
2026-04-17T21:08:47,"Users/centaurioun/Repos/osteogenesis_imperfecta\gene_map_v1.csv","Users/centaurioun/Repos/osteogenesis_imperfecta\01_data\reference\gene_map_v1.csv","data_reference"
2026-04-17T21:08:48,"Users/centaurioun/Repos/osteogenesis_imperfecta\camber_sap_v2_publication_ready.md","Users/centaurioun/Repos/osteogenesis_imperfecta\00_governance\docs\project_scope\camber_sap_v2_publication_ready.md","governance_doc"
2026-04-17T21:08:48,"Users/centaurioun/Repos/osteogenesis_imperfecta\camber_study_brief_v1.md","Users/centaurioun/Repos/osteogenesis_imperfecta\00_governance\docs\project_scope\camber_study_brief_v1.md","governance_doc"
2026-04-17T21:08:48,"Users/centaurioun/Repos/osteogenesis_imperfecta\Osteogenesis-Imperfecta-Oro-Denta-Bulgular-Etik-Kurul-Basvuru-Rev3.md","Users/centaurioun/Repos/osteogenesis_imperfecta\00_governance\docs\project_scope\Osteogenesis-Imperfecta-Oro-Denta-Bulgular-Etik-Kurul-Basvuru-Rev3.md","governance_doc"
2026-04-17T21:08:48,"Users/centaurioun/Repos/osteogenesis_imperfecta\README_Camber_Upload.md","Users/centaurioun/Repos/osteogenesis_imperfecta\00_governance\docs\project_scope\README_Camber_Upload.md","governance_doc"
2026-04-17T21:08:48,"Users/centaurioun/Repos/osteogenesis_imperfecta\final_1.md","Users/centaurioun/Repos/osteogenesis_imperfecta\00_governance\docs\project_scope\final_1.md","governance_doc"
2026-04-17T21:08:48,"Users/centaurioun/Repos/osteogenesis_imperfecta\final_1_2_publication_ready_gorsel_paketi_figur_plani_deterministik_failsafe_uretim_scripti.md","Users/centaurioun/Repos/osteogenesis_imperfecta\00_governance\docs\project_scope\final_1_2_publication_ready_gorsel_paketi_figur_plani_deterministik_failsafe_uretim_scripti.md","governance_doc"
2026-04-17T21:08:48,"Users/centaurioun/Repos/osteogenesis_imperfecta\kongre_abstract_paketi_final_1.md","Users/centaurioun/Repos/osteogenesis_imperfecta\00_governance\docs\project_scope\kongre_abstract_paketi_final_1.md","governance_doc"
2026-04-17T21:08:48,"Users/centaurioun/Repos/osteogenesis_imperfecta\istatistikci-analiz-bulgulari.md","Users/centaurioun/Repos/osteogenesis_imperfecta\00_governance\docs\project_scope\istatistikci-analiz-bulgulari.md","governance_doc"
2026-04-17T21:08:48,"Users/centaurioun/Repos/osteogenesis_imperfecta\publication_tables_v1_csv_ciktilari_ozeti.md","Users/centaurioun/Repos/osteogenesis_imperfecta\00_governance\docs\project_scope\publication_tables_v1_csv_ciktilari_ozeti.md","governance_doc"
2026-04-17T21:08:48,"Users/centaurioun/Repos/osteogenesis_imperfecta\statistical_report_v1.md","Users/centaurioun/Repos/osteogenesis_imperfecta\00_governance\docs\project_scope\statistical_report_v1.md","governance_doc"
2026-04-17T21:08:48,"Users/centaurioun/Repos/osteogenesis_imperfecta\main_analysis_completion","Users/centaurioun/Repos/osteogenesis_imperfecta\02_analysis\validation\main_analysis_completion","validation_workspace"
2026-04-17T21:08:48,"Users/centaurioun/Repos/osteogenesis_imperfecta\reanalysis_statistician_vs_project","Users/centaurioun/Repos/osteogenesis_imperfecta\02_analysis\validation\reanalysis_statistician_vs_project","validation_workspace"
2026-04-17T21:08:48,"Users/centaurioun/Repos/osteogenesis_imperfecta\statistician-analysis","Users/centaurioun/Repos/osteogenesis_imperfecta\02_analysis\validation\statistician-analysis","validation_workspace"
2026-04-17T21:08:48,"Users/centaurioun/Repos/osteogenesis_imperfecta\missing_statistical_analyses","Users/centaurioun/Repos/osteogenesis_imperfecta\02_analysis\validation\missing_statistical_analyses","validation_workspace"
2026-04-17T21:08:48,"Users/centaurioun/Repos/osteogenesis_imperfecta\analysis_2026-04-10_20260410_074048","Users/centaurioun/Repos/osteogenesis_imperfecta\02_analysis\validation\analysis_2026-04-10_20260410_074048","validation_workspace"
2026-04-17T21:08:48,"Users/centaurioun/Repos/osteogenesis_imperfecta\miRNA_agent_prompts","Users/centaurioun/Repos/osteogenesis_imperfecta\02_analysis\prompts\miRNA_agent_prompts","prompt_workspace"
2026-04-17T21:08:48,"Users/centaurioun/Repos/osteogenesis_imperfecta\oi_agent_prompts_draft","Users/centaurioun/Repos/osteogenesis_imperfecta\02_analysis\prompts\oi_agent_prompts_draft","prompt_workspace"
2026-04-17T21:08:48,"K:\IdeaProjects\osteogenesis_imperfecta\publication_table1_overall_v1.csv","Users/centaurioun/Repos/osteogenesis_imperfecta\03_outputs\legacy\publication_table1_overall_v1.csv","legacy_output_file"
2026-04-17T21:08:48,"K:\IdeaProjects\osteogenesis_imperfecta\publication_table2_by_gene_group_v1.csv","Users/centaurioun/Repos/osteogenesis_imperfecta\03_outputs\legacy\publication_table2_by_gene_group_v1.csv","legacy_output_file"
2026-04-17T21:08:48,"K:\IdeaProjects\osteogenesis_imperfecta\publication_table3_global_tests_v1.csv","Users/centaurioun/Repos/osteogenesis_imperfecta\03_outputs\legacy\publication_table3_global_tests_v1.csv","legacy_output_file"
2026-04-17T21:08:48,"K:\IdeaProjects\osteogenesis_imperfecta\publication_table3_pairwise_doku_v1.csv","Users/centaurioun/Repos/osteogenesis_imperfecta\03_outputs\legacy\publication_table3_pairwise_doku_v1.csv","legacy_output_file"
2026-04-17T21:08:48,"Users/centaurioun/Repos/osteogenesis_imperfecta\verified_master_table_v3.csv","Users/centaurioun/Repos/osteogenesis_imperfecta\03_outputs\legacy\verified_master_table_v3.csv","legacy_output_file"
2026-04-17T21:08:48,"Users/centaurioun/Repos/osteogenesis_imperfecta\verified_master_table_v3_1.csv","Users/centaurioun/Repos/osteogenesis_imperfecta\03_outputs\legacy\verified_master_table_v3_1.csv","legacy_output_file"
