scenario,endpoint,cv_method,auc_age,auc_age_gene,delta_auc,delta_auc_ci_low,delta_auc_ci_high,warnings
Primary,doku_anomalisi_var_rt,LOO,0.0,0.5958333333333333,0.5958333333333333,0.3821904761904761,0.818240093240093,AUC < 0.5
Primary,doku_anomalisi_var_rt,RSKF,0.29483333333333334,0.6368750000000001,0.34204166666666674,0.3477971014492753,0.798439558629776,AUC < 0.5
Primary,gingivitis,LOO,0.8181818181818181,0.8023715415019763,-0.015810276679841806,-0.14222397891963112,0.09884387351778628,
Primary,gingivitis,RSKF,0.8268774703557312,0.8084584980237155,-0.018418972332015726,-0.12444688644688648,0.09643165024630539,
Primary,caries_any_rt,LOO,0.8083333333333332,0.9083333333333333,0.10000000000000009,-0.0400416666666667,0.2583333333333333,
Primary,caries_any_rt,RSKF,0.83025,0.9063333333333332,0.07608333333333317,-0.03953754940711472,0.2222222222222222,
