scenario,endpoint,test,statistic,p_classic,p_permutation,expected_min,effect_size_name,effect_size_value,epsilon2_primary,epsilon2_alt,kw_n,kw_k,p_holm_primary_family_classic,p_holm_binary_family_perm,loo_p_min,loo_p_max,infra_exclusion_delta_p,auc_age,auc_age_gene,delta_auc
Primary,doku_anomalisi_var_rt,Chi2_Perm,7.881051587301588,0.09603389929848109,0.0941,1.4705882352941178,CramerV,0.48145159146131705,,,,,0.28810169789544327,0.22169999999999998,0.03922527642144214,0.15020627568637365,0.01643163407840749,0.0,0.5958333333333333,0.5958333333333333
Primary,gingivitis,Chi2_Perm,2.1898738942217206,0.7008835742096772,0.7666,1.6176470588235294,CramerV,0.25378742228960743,,,,,0.7008835742096772,0.7666,0.408373065953603,0.845985047241729,0.06767604373395797,0.8181818181818181,0.8023715415019763,-0.015810276679841806
Primary,caries_any_rt,Chi2_Perm,8.242301587301586,0.08309492786795941,0.0739,1.4705882352941178,CramerV,0.4923623004664704,,,,,,0.22169999999999998,0.03710623508794272,0.15195363831662648,0.06885871044866707,0.8083333333333332,0.9083333333333333,0.10000000000000009
Primary,caries_count,Kruskal,5.311434807256259,0.25680838659371413,,,Epsilon2,0.04522188990538825,0.04522188990538825,0.16095256991685636,34.0,5.0,0.5136167731874283,,0.12176074306105797,0.3992094682418196,0.07234302226646627,,,
